Id;Name;File_Name;AnimCount;LT_size;RT_size;prpNaNoze;prpNaVode;prpLT;prpRT;prpPruchozi;prpStrom;prpBudova;FireAddDohled;Budova_DoorLT;Budova_DoorRT;AddAnim_Id;AddAnim_X;AddAnim_Y;KreslitTyp;KreslitLvl;SizeProc;IdModel;Vysky
18;Ker-02;IMAGE\OBJECT\FLORA\KERE\KER-02_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
19;Ker-03;IMAGE\OBJECT\FLORA\KERE\KER-03_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
20;Ker-04;IMAGE\OBJECT\FLORA\KERE\KER-04_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
21;Kyticky01;IMAGE\OBJECT\FLORA\KERE\KYTKA01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
22;Kyticky02;IMAGE\OBJECT\FLORA\KERE\KYTKA02_X*.PNG;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;100;0;0x
23;Pampeliska;IMAGE\OBJECT\FLORA\KERE\KYTKA1_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
24;Bodlak;IMAGE\OBJECT\FLORA\KERE\KYTKA2_X*.PNG;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;100;0;0x
25;Kytky01;IMAGE\OBJECT\FLORA\KVETINY_KVITI\KYTKY01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
26;Kytky02;IMAGE\OBJECT\FLORA\KVETINY_KVITI\KYTKY02_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
27;Kytky03;IMAGE\OBJECT\FLORA\KVETINY_KVITI\KYTKY03_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
28;Kytky04;IMAGE\OBJECT\FLORA\KVETINY_KVITI\KYTKY04_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
29;Kytky05;IMAGE\OBJECT\FLORA\KVETINY_KVITI\KYTKY05_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
30;Kytky06;IMAGE\OBJECT\FLORA\KVETINY_KVITI\KYTKY06_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
31;Kyticka01;IMAGE\OBJECT\FLORA\KVETINY_OKRASNE\KYTICKA01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x14
32;Kyticka02;IMAGE\OBJECT\FLORA\KVETINY_OKRASNE\KYTICKA02_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x14
33;Kyticka03;IMAGE\OBJECT\FLORA\KVETINY_OKRASNE\KYTICKA03_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x14
34;Kyticka04;IMAGE\OBJECT\FLORA\KVETINY_OKRASNE\KYTICKA04_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x14
35;Kyticka05;IMAGE\OBJECT\FLORA\KVETINY_OKRASNE\KYTICKA05_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x14
36;Kyticka06;IMAGE\OBJECT\FLORA\KVETINY_OKRASNE\KYTICKA06_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x14
37;Briza;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\BRIZA_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
38;Jablon;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\JABLON_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
39;List-01;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-01_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
40;List-02;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-02_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
41;List-03;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-03_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
42;List-04;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-04_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
43;List-05;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-05_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
44;List-06;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-06_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
45;List-08;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-08_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
46;List-09;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-09_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
47;List-10;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-10_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
48;List-11;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-11_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
49;List-12;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-12_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
50;List-13;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-13_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
51;List-16;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-16_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
52;List-17;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-17_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
53;List-18;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\LIST-18_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
54;Vrba1;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\VRBA1_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
55;Vrba2;IMAGE\OBJECT\FLORA\LISTNATE_STROMY\VRBA2_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
56;Holy01;IMAGE\OBJECT\FLORA\MRTVE_STROMY\HOLY01_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
57;Holy02;IMAGE\OBJECT\FLORA\MRTVE_STROMY\HOLY02_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
58;Holy03;IMAGE\OBJECT\FLORA\MRTVE_STROMY\HOLY03_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
59;Holy05;IMAGE\OBJECT\FLORA\MRTVE_STROMY\HOLY05_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
60;Holy06;IMAGE\OBJECT\FLORA\MRTVE_STROMY\HOLY06_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
61;List-15;IMAGE\OBJECT\FLORA\MRTVE_STROMY\LIST-15_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
62;Strom-l-01;IMAGE\OBJECT\FLORA\MRTVE_STROMY\STROM-L-01_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
63;Koren-01;IMAGE\OBJECT\FLORA\PAREZY\KOREN-01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
64;Koren-02;IMAGE\OBJECT\FLORA\PAREZY\KOREN-02_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
65;Koren-03;IMAGE\OBJECT\FLORA\PAREZY\KOREN-03_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
66;Koren-04;IMAGE\OBJECT\FLORA\PAREZY\KOREN-04_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
67;Koren-05;IMAGE\OBJECT\FLORA\PAREZY\KOREN-05_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
68;Koren-06;IMAGE\OBJECT\FLORA\PAREZY\KOREN-06_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
69;List-14;IMAGE\OBJECT\FLORA\PODZIMNI_STROMY\LIST-14_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
70;Podzim01;IMAGE\OBJECT\FLORA\PODZIMNI_STROMY\PODZIM01_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
71;Podzim02;IMAGE\OBJECT\FLORA\PODZIMNI_STROMY\PODZIM02_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
72;Podzim03;IMAGE\OBJECT\FLORA\PODZIMNI_STROMY\PODZIM03_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
73;Podzim04;IMAGE\OBJECT\FLORA\PODZIMNI_STROMY\PODZIM04_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
74;Podzim05;IMAGE\OBJECT\FLORA\PODZIMNI_STROMY\PODZIM05_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
75;Kaktus1;IMAGE\OBJECT\FLORA\TROPICKE_KAKTUSY\KAKTUS1_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0xFF
76;Kaktus2;IMAGE\OBJECT\FLORA\TROPICKE_KAKTUSY\KAKTUS2_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0xFF
77;Palma01;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA1_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
78;Palma02;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA2_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
79;Palma03;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA3_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
80;Palma04;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA4_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
81;Palma05;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA5_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
82;Palma06;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA6_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
83;Palma07;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMA7_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
84;Palma08;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW01_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
85;Palma09;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW02_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
86;Palma10;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW03_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
87;Palma11;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW04_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
88;Palma12;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW05_X*.PNG;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x14
89;Palma13;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW06_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
90;Palma14;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW07_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
91;Palma15;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW08_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
92;Palma16;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW09_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
93;Palma17;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW10_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
94;Palma18;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW11_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
95;Palma19;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PALMANEW12_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
96;Palma20;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PLMA-01_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
97;Palma21;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PLMA-02_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
98;Palma22;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PLMA-03_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
99;Palma23;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PLMA-04_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
100;Palma24;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PLMA-05_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
101;Palma25;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\PLMA-06_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
102;Palma26;IMAGE\OBJECT\FLORA\TROPICKE_STROMY\REPA_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x
103;Bambus1;IMAGE\OBJECT\FLORA\VODNI_BAMBUS\BAMBUS1_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
104;Bambus2;IMAGE\OBJECT\FLORA\VODNI_BAMBUS\BAMBUS2_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
105;Bambus3;IMAGE\OBJECT\FLORA\VODNI_BAMBUS\BAMBUS3_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
106;Bambus4;IMAGE\OBJECT\FLORA\VODNI_BAMBUS\BAMBUS4_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
107;Sud-voda;IMAGE\OBJECT\FLORA\VODNI_DALSI\SUD-VODA_X*.PNG;16;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x
108;Sud-voda2;IMAGE\OBJECT\FLORA\VODNI_DALSI\SUD-VODA2_X*.PNG;24;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x
109;Vor;IMAGE\OBJECT\FLORA\VODNI_DALSI\VOR_X*.PNG;16;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x
110;Leknin 01;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\01_X*.PNG;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;2;100;0;0x14
111;Leknin 02;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\02_X*.PNG;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;2;100;0;0x14
112;Vodnikytky01;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\VODNIKYTKY01_X*.PNG;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x14141414
113;Vodnikytky02;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\VODNIKYTKY02_X*.PNG;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x14141414
114;Vodnikytky03;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\VODNIKYTKY03_X*.PNG;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x14141414
115;Vodnikytky04;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\VODNIKYTKY04_X*.PNG;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x14141414
116;Vodnikytky05;IMAGE\OBJECT\FLORA\VODNI_LEKNINY\VODNIKYTKY05_X*.PNG;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;100;0;0x14141414
117;Ker-05;IMAGE\OBJECT\FLORA\VODNI_RAKOSI\KER-05_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;100;0;0x14
118;Ker-06;IMAGE\OBJECT\FLORA\VODNI_RAKOSI\KER-06_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;100;0;0x14
119;Ker-07;IMAGE\OBJECT\FLORA\VODNI_RAKOSI\KER-07_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;100;0;0x14
120;Bazina01;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA01_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
121;Bazina02;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA02_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
122;Bazina03;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA03_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
123;Bazina04;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA04_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
124;Bazina05;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA05_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
125;Bazina06;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA06_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
126;Bazina07;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA07_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x141414141414
127;Bazina08;IMAGE\OBJECT\FLORA\VODNI_STROMY\BAZINA08_X*.PNG;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14141414
128;Mrkev00;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\MRKEV00_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;160;0;0x14
129;Mrkev01;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\MRKEV01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;160;0;0x14
130;Mrkev02;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\MRKEV02_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;160;0;0x14
131;Obili01;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\OBILI01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;130;0;0xFF
132;Obili03;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\OBILI03_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;8;8;0;0;0;2;2;130;0;0xFF
133;Zeli01;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\ZELI01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;140;0;0x14
134;Zeli02;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\ZELI02_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;160;0;0x14
135;Zeli03;IMAGE\OBJECT\FLORA\ZAHRADNI_PRODUKTY\ZELI03_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;150;0;0x14
136;Zima-jehl-01;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-01_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
137;Zima-jehl-02;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-02_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
138;Zima-jehl-03;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-03_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
139;Zima-jehl-04;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-04_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
140;Zima-jehl-05;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-05_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
141;Zima-jehl-06;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-06_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
142;Zima-jehl-07;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-07_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
143;Zima-jehl-08;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-08_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
144;Zima-jehl-09;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-09_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
145;Zima-jehl-10;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-JEHL-10_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
146;Zima-list-01;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-LIST-01_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
147;Zima-list-02;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-LIST-02_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
148;Zima-list-03;IMAGE\OBJECT\FLORA\ZASNEZENE_STROMY\ZIMA-LIST-03_X*.PNG;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
